Date,SBUX,FB,WMT,DIS,GME
2021-02-26,108.03,257.62,129.92,189.04,101.74
2021-02-25,103.47,254.69,131.95,190.98,108.73
2021-02-24,104.38,264.31,133.21,197.51,91.71
2021-02-23,101.37,265.855,135.47,197.09,44.97
2021-02-22,101.81,260.33,137.69,191.76,46.0
2021-02-19,103.37,261.56,138.34,183.65,40.59
2021-02-18,104.97,269.39,137.66,183.0,40.69
2021-02-17,104.44,273.57,147.2,186.44,45.94
2021-02-16,105.7,273.97,145.66,186.35,49.51
2021-02-12,104.85,270.5,144.47,187.67,52.4
2021-02-11,105.41,270.39,144.02,190.91,51.1
2021-02-10,105.42,271.87,144.13,189.63,51.2
2021-02-09,105.77,269.45,145.83,188.21,50.31
2021-02-08,105.81,266.58,145.03,190.0,60.0
2021-02-05,106.03,268.1,144.36,181.16,63.77
2021-02-04,103.2,266.49,142.53,180.23,53.5
2021-02-03,100.59,266.65,141.2,176.43,92.41
2021-02-02,101.22,267.08,140.77,176.96,90.0
2021-02-01,98.162,262.01,139.27,170.97,225.0
2021-01-29,96.4,258.33,140.49,168.17,325.0
2021-01-28,97.734,265.0,143.75,171.88,193.6
2021-01-27,97.455,272.14,143.84,163.03,347.51
2021-01-26,104.25,282.05,147.51,169.56,147.98
2021-01-25,103.01,278.01,146.2,171.89,76.79
2021-01-22,103.47,274.5,146.33,172.78,65.01
2021-01-21,104.14,272.87,144.85,171.28,43.03
2021-01-20,105.01,267.48,145.51,173.64,39.12
2021-01-19,102.11,261.1,143.39,172.26,39.36
2021-01-15,101.9,251.36,144.64,171.44,35.5
2021-01-14,101.39,245.64,146.97,173.43,39.91
2021-01-13,102.45,251.64,147.45,176.12,31.4
2021-01-12,102.38,251.09,148.97,175.99,19.95
2021-01-11,104.16,256.84,147.29,179.09,19.94
2021-01-08,105.22,267.57,146.63,178.69,17.69
2021-01-07,102.91,268.74,146.65,178.58,18.08
2021-01-06,103.75,263.31,146.66,179.12,18.36
2021-01-05,103.0,270.97,145.75,178.44,17.37
2021-01-04,102.66,268.94,146.53,177.68,17.25
2020-12-31,106.53,273.16,144.15,181.18,18.84
2020-12-30,105.52,271.87,144.18,181.17,19.26
2020-12-29,105.18,276.78,144.3,177.3,19.38
2020-12-28,103.9,277.0,145.22,178.86,20.99
2020-12-24,101.58,267.4,143.5,173.73,20.15
2020-12-23,101.63,268.11,143.22,173.55,20.57
2020-12-22,101.98,267.09,144.2,170.45,19.46
2020-12-21,102.5,272.79,145.97,170.69,15.53
2020-12-18,102.84,276.4,145.95,172.89,15.63
2020-12-17,102.77,274.48,146.1,173.55,14.83
2020-12-16,102.83,275.67,145.43,173.12,13.85
2020-12-15,103.74,275.55,145.58,173.94,13.85
2020-12-14,102.88,274.19,145.65,169.3,12.72
2020-12-11,102.56,273.55,147.0,175.72,13.31
2020-12-10,104.94,277.12,147.04,154.69,14.12
2020-12-09,99.97,277.92,147.73,154.43,13.66
2020-12-08,100.78,283.4,148.91,153.72,16.94
2020-12-07,100.98,285.58,147.57,153.68,16.35
2020-12-04,101.85,279.7,148.37,154.14,16.9
2020-12-03,99.69,281.85,148.76,153.24,16.12
2020-12-02,98.491,287.52,149.97,153.61,16.58
2020-12-01,98.401,286.55,152.08,149.44,15.8
2020-11-30,97.604,276.97,152.23,148.01,16.56
2020-11-27,98.242,277.81,151.05,147.13,16.08
2020-11-25,97.784,275.59,151.28,149.09,14.75
2020-11-24,97.883,276.92,150.81,151.49,13.67
2020-11-23,96.469,268.43,150.38,145.98,13.9
2020-11-20,96.599,269.7,149.69,141.07,12.71
2020-11-19,97.346,272.94,151.57,141.72,12.46
2020-11-18,97.495,271.97,148.55,143.9,11.57
2020-11-17,98.182,275.0,148.83,144.5,11.63
2020-11-16,97.365,278.96,151.88,144.67,12.06
2020-11-13,95.155,276.95,149.99,138.36,11.01
2020-11-12,93.133,275.08,147.69,135.52,11.13
